province,cityname,record_date,high,low,weather,wd,ws
上海,上海,26/10/2022,20,16,多云,东风,3
上海,上海,27/10/2022,20,16,多云,东北风,1
上海,上海,28/10/2022,19,15,多云,东北风,1
上海,上海,29/10/2022,21,16,多云,东北风,1
上海,上海,30/10/2022,22,17,多云,东风,2
上海,上海,31/10/2022,22,15,多云,东北风,1
上海,上海,1/9/2022,29,24,多云,东北风,3
上海,上海,2/9/2022,28,24,多云,北风,1
上海,上海,3/9/2022,30,25,小雨,东风,2
上海,上海,4/9/2022,32,26,小雨,东北风,3
上海,上海,5/9/2022,24,20,中雨,西北风,3
上海,上海,6/9/2022,30,23,多云,南风,3
上海,上海,7/9/2022,33,24,阴,东南风,1
上海,上海,8/9/2022,31,23,阴,东风,1
上海,上海,9/9/2022,30,22,多云,东北风,2
上海,上海,10/9/2022,30,22,多云,东北风,2
上海,上海,11/9/2022,29,24,多云,东北风,1
上海,上海,12/9/2022,27,22,小雨,北风,2
上海,上海,13/9/2022,25,23,多云,北风,1
上海,上海,14/9/2022,25,23,多云,北风,2
上海,上海,15/9/2022,26,22,多云,西南风,2
上海,上海,16/9/2022,29,23,阴,北风,1
上海,上海,17/9/2022,30,23,多云,北风,2
上海,上海,18/9/2022,27,22,多云,西北风,1
上海,上海,19/9/2022,28,20,晴,北风,4
上海,上海,20/9/2022,26,21,多云,北风,3
上海,上海,21/9/2022,24,20,多云,东风,1
上海,上海,22/9/2022,28,21,多云,东南风,3
上海,上海,23/9/2022,28,18,多云,北风,3
上海,上海,24/9/2022,25,20,多云,东北风,2
上海,上海,25/9/2022,26,20,阴,东北风,1
上海,上海,26/9/2022,25,21,多云,东北风,3
上海,上海,27/9/2022,27,20,多云,东风,2
上海,上海,28/9/2022,24,20,小雨,东北风,1
上海,上海,29/9/2022,26,22,多云,东风,2
上海,上海,30/9/2022,25,23,阴,东南风,1
上海,上海,1/8/2022,36,28,多云,东南风,2
上海,上海,2/8/2022,36,29,阴,东南风,2
上海,上海,3/8/2022,36,28,多云,东南风,1
上海,上海,4/8/2022,37,30,晴,南风,1
上海,上海,5/8/2022,40,29,晴,东南风,2
上海,上海,6/8/2022,36,29,多云,北风,1
上海,上海,7/8/2022,38,29,多云,南风,2
上海,上海,8/8/2022,38,29,晴,东北风,3
上海,上海,9/8/2022,38,29,多云,东南风,1
上海,上海,10/8/2022,40,29,阴,南风,2
上海,上海,11/8/2022,40,29,多云,北风,1
上海,上海,12/8/2022,39,29,小雨,南风,3
上海,上海,13/8/2022,39,29,多云,东南风,1
上海,上海,14/8/2022,39,29,多云,南风,1
上海,上海,15/8/2022,39,29,多云,南风,1
